City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
320,Saint-Joseph,-21.3667,55.6167,78.8,78,40,7.92
321,Green River,41.5286,-109.4662,30.2,29,1,21.85
322,Fort Payne,34.4442,-85.7197,51.8,49,1,3.44
323,Sao Joao Da Barra,-21.6403,-41.0511,76.15,88,0,13.09
324,Acari,-15.4311,-74.6158,72.84,66,84,5.79
325,Helong,42.5397,128.9972,13.03,91,100,1.3
326,Black Diamond,47.3087,-122.0032,52.0,100,17,5.99
327,Lagos,6.5833,3.75,82.4,83,20,3.44
328,Eureka,40.8021,-124.1637,64.0,83,20,5.01
329,Stykkisholmur,65.0757,-22.7297,35.92,84,71,15.1
330,Seoul,37.5683,126.9778,41.0,60,75,6.91
331,Sao Filipe,14.8961,-24.4956,72.93,71,100,11.18
332,Mayumba,-3.432,10.6554,76.89,85,43,4.63
333,Namatanai,-3.6667,152.4333,85.23,65,100,3.91
334,Colomi,-17.35,-65.8667,62.6,82,75,6.91
335,Rocha,-34.4833,-54.3333,61.54,71,0,8.57
336,Aitape,-3.1374,142.3475,82.38,78,100,4.05
337,Breves,-1.6822,-50.4803,75.25,95,54,4.0
338,Ordu,40.9086,37.6845,46.4,76,75,12.66
339,Kandri,21.4167,79.2667,53.6,62,0,2.3
340,Acapulco,16.8634,-99.8901,82.4,74,90,8.05
341,Higueron,18.5833,-99.1667,82.0,36,75,5.75
342,Igarka,67.4667,86.5833,-39.66,80,2,5.53
343,Warrnambool,-38.3833,142.4833,57.99,69,58,11.99
344,Novopokrovka,49.8425,36.5477,26.6,86,75,4.47
345,Rio Gallegos,-51.6226,-69.2181,64.4,45,40,11.5
346,Buraydah,26.326,43.975,60.8,63,40,6.91
347,Altay,47.8667,88.1167,-10.3,68,0,2.28
348,Antalaha,-14.9003,50.2788,76.8,90,69,2.64
349,Piacabucu,-10.4056,-36.4344,79.0,78,86,13.22
350,West Bay,19.3667,-81.4167,80.6,83,20,5.75
351,Nuuk,64.1835,-51.7216,23.0,86,75,6.91
352,Tuatapere,-46.1333,167.6833,73.0,64,9,3.0
353,San Patricio,28.017,-97.5169,77.0,22,1,11.5
354,Timmins,48.4669,-81.3331,28.4,86,90,5.75
355,Asasa,7.1,39.2,53.78,53,50,1.52
356,Navoi,40.0844,65.3792,39.2,60,0,9.22
357,Alghero,40.5589,8.3181,55.4,67,40,10.36
358,Avera,33.194,-82.5271,51.8,54,1,5.75
359,Shingu,33.7333,135.9833,42.8,70,20,2.3
360,Pangnirtung,66.1451,-65.7125,-11.2,77,1,3.44
361,Hasaki,35.7333,140.8333,41.0,75,75,4.61
362,Quartucciu,39.2519,9.1794,55.4,76,40,12.66
363,Gat,31.61,34.7642,57.0,100,18,3.0
364,Fare,-16.7,-151.0167,81.59,75,28,14.47
365,Boca Do Acre,-8.7522,-67.3978,73.06,98,98,2.39
366,Venice,27.0998,-82.4543,62.01,72,1,5.75
367,Aykhal,66.0,111.5,-26.45,83,100,12.84
368,Kenai,60.5544,-151.2583,34.0,64,75,25.32
369,Puerto Escondido,15.85,-97.0667,80.6,69,40,4.61
370,Poceirao,38.831,-8.7937,53.01,93,75,9.22
371,High Prairie,55.4334,-116.4858,24.8,63,12,6.91
372,Majene,-3.5403,118.9707,79.2,87,100,5.35
373,Gigmoto,13.7796,124.39,80.06,84,35,8.46
374,Menongue,-14.6585,17.691,63.93,87,100,3.91
375,Katsuura,35.1333,140.3,46.99,76,75,9.22
376,Harlingen,26.1906,-97.6961,80.6,24,1,6.91
377,Manavgat,36.7867,31.4431,50.0,57,0,13.8
378,Ixtapa,20.7,-105.2,73.4,83,20,10.36
379,Drayton Valley,53.2168,-114.9854,27.0,61,0,5.01
380,Hokitika,-42.7167,170.9667,66.6,79,84,9.22
381,Moron,-34.6534,-58.6198,77.0,67,0,8.99
382,Rosaryville,38.7568,-76.8097,45.0,56,1,5.75
383,Bulaevo,54.9056,70.4439,-15.81,84,58,8.79
384,Cidreira,-30.1811,-50.2056,71.92,74,41,19.35
385,Lata,40.1629,-8.3327,53.01,90,77,3.2
386,Yerbogachen,61.2767,108.0108,-22.83,81,100,10.09
387,Sao Felix Do Xingu,-6.6447,-51.995,73.65,94,100,1.32
388,Matagami,49.7502,-77.6328,24.8,100,90,2.3
389,Qasigiannguit,68.8193,-51.1922,19.4,86,90,5.75
390,Atambua,-9.1061,124.8925,80.89,78,95,0.22
391,Ciudad Ojeda,10.1964,-71.3082,80.53,67,97,7.29
392,Isangel,-19.55,169.2667,78.8,94,90,5.75
393,Kitimat,54.0524,-128.6534,33.01,97,99,4.45
394,Pringsewu,-5.3582,104.9744,73.72,92,97,2.01
395,Kirksville,40.1948,-92.5833,37.4,75,90,21.85
396,Ponta Delgada,37.7333,-25.6667,61.0,94,40,11.5
397,Port Hardy,50.6996,-127.4199,48.2,66,75,31.07
398,Muros,42.7762,-9.0603,51.01,89,47,4.7
399,Ahuimanu,21.4447,-157.8378,82.4,73,1,10.36
400,Mount Isa,-20.7333,139.5,89.6,31,35,8.05
401,Ambilobe,-13.2,49.05,75.87,94,67,0.94
402,Port Blair,11.6667,92.75,77.04,81,59,11.07
403,Spring Hill,28.4769,-82.5255,55.4,67,1,4.61
